InterPad_I	InterPad_V
5.3163e-10	1.3900e-01
5.3163e-10	1.4000e-01
2.7907e-10	1.4100e-01
4.0535e-10	1.4200e-01
4.0535e-10	1.4300e-01
4.6849e-10	1.4400e-01
4.6849e-10	1.4500e-01
5.3163e-10	1.4600e-01
6.3686e-10	1.4700e-01
5.5268e-10	1.4800e-01
5.5268e-10	1.4900e-01
5.1058e-10	1.5000e-01
5.5268e-10	1.5100e-01
5.9477e-10	1.5200e-01
5.7372e-10	1.5300e-01
4.6849e-10	1.5400e-01
5.5268e-10	1.5500e-01
6.5791e-10	1.5600e-01
4.0535e-10	1.5700e-01
6.3686e-10	1.5800e-01
5.7372e-10	1.5900e-01
5.1058e-10	1.6000e-01
5.9477e-10	1.6100e-01
5.7372e-10	1.6200e-01
4.6849e-10	1.6300e-01
5.7372e-10	1.6400e-01
5.3163e-10	1.6500e-01
5.5268e-10	1.6600e-01
4.8954e-10	1.6700e-01
6.7895e-10	1.6800e-01
6.1581e-10	1.6900e-01
7.0000e-10	1.7000e-01
7.8419e-10	1.7100e-01
9.3151e-10	1.7200e-01
4.8954e-10	1.7300e-01
5.5268e-10	1.7400e-01
6.5791e-10	1.7500e-01
8.2628e-10	1.7600e-01
7.0000e-10	1.7700e-01
6.1581e-10	1.7800e-01
5.5268e-10	1.7900e-01
6.1581e-10	1.8000e-01
6.3686e-10	1.8100e-01
6.5791e-10	1.8200e-01
6.3686e-10	1.8300e-01
5.7372e-10	1.8400e-01
6.1581e-10	1.8500e-01
7.2105e-10	1.8600e-01
8.0523e-10	1.8700e-01
8.6837e-10	1.8800e-01
8.4732e-10	1.8900e-01
8.0523e-10	1.9000e-01
8.2628e-10	1.9100e-01
9.1046e-10	1.9200e-01
9.5256e-10	1.9300e-01
8.6837e-10	1.9400e-01
8.2628e-10	1.9500e-01
8.4732e-10	1.9600e-01
6.5791e-10	1.9700e-01
8.0523e-10	1.9800e-01
7.6314e-10	1.9900e-01
7.8419e-10	2.0000e-01
7.4209e-10	2.0100e-01
7.4209e-10	2.0200e-01
7.0000e-10	2.0300e-01
6.7895e-10	2.0400e-01
7.6314e-10	2.0500e-01
8.6837e-10	2.0600e-01
9.3151e-10	2.0700e-01
9.3151e-10	2.0800e-01
8.0523e-10	2.0900e-01
8.6837e-10	2.1000e-01
9.1046e-10	2.1100e-01
9.5256e-10	2.1200e-01
7.8419e-10	2.1300e-01
7.2105e-10	2.1400e-01
9.5256e-10	2.1500e-01
1.0157e-09	2.1600e-01
1.0157e-09	2.1700e-01
1.0788e-09	2.1800e-01
6.5791e-10	2.1900e-01
8.4732e-10	2.2000e-01
1.0788e-09	2.2100e-01
