InterPad_I	InterPad_V
8.8926e-07	1.8200e-01
8.9498e-07	1.8300e-01
8.9974e-07	1.8400e-01
9.0315e-07	1.8500e-01
9.0599e-07	1.8600e-01
9.0908e-07	1.8700e-01
9.1258e-07	1.8800e-01
9.1588e-07	1.8900e-01
9.1982e-07	1.9000e-01
9.2491e-07	1.9100e-01
9.2897e-07	1.9200e-01
9.3364e-07	1.9300e-01
9.3770e-07	1.9400e-01
9.3924e-07	1.9500e-01
9.4255e-07	1.9600e-01
9.4518e-07	1.9700e-01
9.5174e-07	1.9800e-01
9.5181e-07	1.9900e-01
9.5576e-07	2.0000e-01
9.6206e-07	2.0100e-01
9.6431e-07	2.0200e-01
9.6660e-07	2.0300e-01
9.7047e-07	2.0400e-01
9.7521e-07	2.0500e-01
9.7723e-07	2.0600e-01
9.7986e-07	2.0700e-01
9.8203e-07	2.0800e-01
9.8651e-07	2.0900e-01
9.9074e-07	2.1000e-01
9.9390e-07	2.1100e-01
9.9638e-07	2.1200e-01
9.9973e-07	2.1300e-01
1.0018e-06	2.1400e-01
1.0051e-06	2.1500e-01
1.0074e-06	2.1600e-01
1.0152e-06	2.1700e-01
1.0165e-06	2.1800e-01
1.0219e-06	2.1900e-01
1.0224e-06	2.2000e-01
1.0270e-06	2.2100e-01
1.0282e-06	2.2200e-01
1.0309e-06	2.2300e-01
1.0366e-06	2.2400e-01
1.0454e-06	2.2500e-01
1.0420e-06	2.2600e-01
1.0476e-06	2.2700e-01
1.0473e-06	2.2800e-01
1.0500e-06	2.2900e-01
1.0538e-06	2.3000e-01
1.0573e-06	2.3100e-01
1.0618e-06	2.3200e-01
1.0627e-06	2.3300e-01
1.0649e-06	2.3400e-01
1.0686e-06	2.3500e-01
1.0738e-06	2.3600e-01
1.0759e-06	2.3700e-01
1.0787e-06	2.3800e-01
1.0789e-06	2.3900e-01
1.0834e-06	2.4000e-01
1.0853e-06	2.4100e-01
1.0882e-06	2.4200e-01
1.0916e-06	2.4300e-01
1.0944e-06	2.4400e-01
1.1000e-06	2.4500e-01
1.1028e-06	2.4600e-01
1.1031e-06	2.4700e-01
1.1045e-06	2.4800e-01
1.1056e-06	2.4900e-01
1.1109e-06	2.5000e-01
1.1137e-06	2.5100e-01
1.1157e-06	2.5200e-01
1.1182e-06	2.5300e-01
1.1227e-06	2.5400e-01
1.1248e-06	2.5500e-01
1.1251e-06	2.5600e-01
1.1276e-06	2.5700e-01
